字段名,说明,错误字段集
access_token,授权码,auth_code
account,账户,
ack_num,ACK 的数量,
action,动作,"act,motion"
action_flag,动作标志,action_mark
action_id,动作ID,
action_name,动作名称,
action_time,动作时间,
action_type,动作类型,motion_type
actual_loop,实际循环次数,
node_id,节点 ID,activit_id
additions,附加信息,"append_information,append"
advanced,高级选项,
administrator,系统责任人,admin
agent_status,agent状态,
alarm_instance_id,告警ID,alarm_id
alarm_source_id,告警源id,alarm_def_id
monitor_id,监控ID,alarm_attr_id
ancestor_id,祖先 ID,
ancestor_template_id,祖先模板ID,
app_label,应用标签,
avatar_url,头像地址,
begin_at,开始时间,"begin_time,start_time,start_at"
bk_biz_id,业务ID,biz_id
bk_cloud_id,云区域ID,"cc_plat_id,cc_id"
bk_data_id,数据源ID,
bk_supplier_id,服务商ID,bk_supplier_account
bk_token,登录凭证,
callback_data,回调数据,
category,类别,classification
celery_task_id,celery 任务 ID,
change_message,修改消息,
charset,字符集,
city,城市,
cluster_name,集群名,
code,编码,
codename,代号,
color,颜色,
config_id,配置标识,
config,配置信息,
content,具体内容,
converge_count,收敛次数,
cost_time,耗时,
country,国家,
count,数量,quantity
created_at,创建时间,"create_at,create_time,created_on,date_created,created,created_time"
created_by,创建人,creator
current_loop,本次循环次数,
current_node_id,当前推进到的节点的 ID,
current_version,快照字符串的md5,
cycle_config,周期配置,
date,日期,
date_joined,加入日期,
deleted_at,删除时间,"delete_time,delete_on"
deleted_by,删除者,delete_by
description,描述,"desc,describe"
details,详情,"detail,detail_message"
distance,距离,"space,gap,range"
domain,域名,
edited_time,编辑时间,edit_time
edit_by,编者,editor
email,邮箱,
enable,启用,enabled
end_at,屏蔽结束时间,"end_time,end_date,finish_time,archived_time,finish_time"
error_message,失败信息,"err_desc,err_msg,ex_data,exception"
expired_at,过期时间,"expire_date,expires,expire_time"
extras,额外信息,"extra_info,extra,extra_data"
extended_fields,扩展字段,"extend,extend_fields"
fields,字段信息,field
gender,性别,sex
groups,组,
id,ID,"identifier,ident"
index,索引,
inputs,输入数据,
instance_id,实例ID,
ip,IP,ip_address
ip_list,IP列表(json),ips
is_active,是否激活,is_activated
is_alive,是否运行态,alive
is_auto,是否自动,auto
is_deleted,是否删除,"deleted,delete"
is_disabled,是否禁用,is_disable
is_display,是否显示,display
is_enabled,是否启用,is_enable
is_finished,是否完成,"finish,finished"
is_staff,职员状态,
is_started,是否已启动,is_start
is_superuser,超级用户状态,
job_id,作业/任务ID,job_task_id
key,密钥/参数,key_content
keywords,关键字,keyword
label,标签,
modified_at,最后更新时间,"last_modify_time,last_update,md_last_update_time,modify_at,modified"
level,监控等级,level_name
location,位置,"position,place"
logged_at,登陆时间,last_login
loop_times,所需循环次数,
md5,md5值,md5sum
message,消息,
method,请求方法,
metrics,指标,"metric,metric_field"
metric_alias,指标别名,metric_field_name
model,模型名,
modified_by,最后更新人,"modify_by,modified"
module,模块,
module_path,模块路径,
monitor_id,监控id,
monitor_name,监控名称,
name,名称,
nickname,昵称,
node_id,节点 ID,
node_name,节点名称,
notice_type,通知方式,notice_way
object_id,对象ID,object_pk
object_repr,对象表示,
operated_at,操作时间,"operate_at,operate_time"
operation_result,操作结果,"operate_final,operate_result"
operate_object,操作对象,
operate_params,操作参数,
operate_type,操作类型,
operator,操作者,
order,顺序,orders
os,系统类型,os_type
outputs,输出数据,
parent_id,父ID,"parent_label,parent_rt_id"
partitions,分区,partition
password,密码,pwd
path,路径,
permissions,许可,permission
port,端口,
priority,优先级,
process_id,进程 ID,
project_id,项目ID,
properties,属性,"property,property_list"
protocol,协议,
province,省份,
query_params,查询参数,
request_id,请求ID,
is_required,必选,required
response_code,返回码,
response_data,返回数据,"response_message,rsp_data"
response_result,response result,
result,结果,"result_data,result_logs"
result_table_id,结果表id,rt_id
result_table_id_list,结果表id列表,result_table_ids
result_table_name,结果表名称,
role,角色,
rules,规则,rule
scenario,场景,
schedule_id,调度ID,
schedule_times,被调度次数,
scope,范围,
service_address,对象存储服务地址,server_ip
service_id,服务ID,
service_type,服务类型,
session_data,会话数据,
session_key,会话密钥,
is_skip,是否跳过,"skip,skipped"
source,来源,
source_id,数据源ID,
source_type,数据源类型,
started_at,操作开始时间,"start_at,start_date,start_time,started_time"
start_cmd,启动命令,
status,状态,state
step,步骤,
sync_at,同步时间,sync_time
tag,插件标签,
template_id,模版ID,
terminated_at,终止时间,"thedate,terminate,terminate_at,terminate_time"
time,时间,
timezone,时区,time_zone
timeout,超时时间,time_out
title,标题,headline
topic,主题,
type,类型,
unique_id,方案唯一ID,uid
updated_at,更新时间,"update_at,date_time,updated_on,update_time"
updated_by,修改人,updator
url,接口url,
userid,用户标识,user_id
user_permissions,用户权限,privileges
username,操作人,
value,值,
version,版本,version_number
width,宽度,